Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
Ducktrap River of Maine Smoke Roasted Atlantic Salmon,,$8.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_822d0b73-46c4-439b-bb37-a9feb8c9faea.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b2c72ae1-a9cb-4b43-9675-d9bdc5de39d1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d333d5e-cec5-4e32-910b-1d9aff1be516.png 4x",,,"Ducktrap smoked roasted traditional-style salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Salmon portions are hot smoked in small batches with a unique blend of maple, oak, cherry, and apple woods. This smoked salmon portion is succulent and fork-tender.","ATLANTIC SALMON (SALMO SALAR) (color added through feed), SALT, CANE SUGAR. CONTAINS: SALMON (FISH).","Suggestions for Serving:,For ease of preparation, remove skin and cut your Ducktrap smoke roasted salmon while cold. To enhance the flavor, serve at room temperature. Smoke roasted salmon is suitable for any occasion, from casual to formal dining. As an appetizer, serve with crackers and a light horseradish sauce. A smoke roasted Caesar salad is perfect for lunch and accompanied by sauteed vegetables and wild rice makes a healthy and hearty dinner.,Proper Storage:,Ducktrap smoked salmon has been carefully sealed in a vacuum package. Because we use no artificial preservatives, our smoked salmon needs to be kept refrigerated at 38°F or less when not being served. Unopened, it can be frozen for up to 3 months. After opening, it should be kept well wrapped in the refrigerator and eaten within 4 days.,Perishable: Keep refrigerated at 38°F (3°C) or less. Use within four days of opening.",Contains: salmon (fish).,,,,,,
Black Mussels,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2215b9b-4195-4917-b421-1155d46d338a.jpg 4x,,,,,,,,,,,,
"Dockside Classics Maryland Style Crab Cakes, 4 Count, 12 Oz",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_252c5a8e-9b03-493e-8de7-125ea7ab597a.jpg 4x,,,,"Crab Cakes - Crabmeat, Crab Surimi (fish Protein [pollock And/or Whiting], Water, Wheat Starch, Sugar, Sorbitol, Contains 2% Or Less Of: Soybean Oil, Salt, Mirin Wine, Natural And Artificial Crab Flavor, Gel Fiber, Calcium Carbonate, Titanium Dioxide, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate), Celery, Flour (wheat Flour Enriched [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Malted Barley Flour), Breadcrumbs (bleached Wheat Flour, Yeast, Sugar, Salt), Mayonnaise (soybean Oil, Egg Yolk, Water, High Fructose Corn Syrup, Vinegar, Contains Less Than 2% Of: Salt, Spice, Calcium, Disodium Edta), Milk , Butter (cream, Salt), Onions, Seasonings (modified Corn Starch, Salt, Soy Protein Isolate, Maltodextrin, Spices [including Celery Seed], Hydrolyzed Soy Protein, Dextrose, Autolyzed Yeast Extract, Xanthan Gum, Guar Gum, Dehydrated Parsley, Soybean Oil [as A Processing Aid], Paprika, Onion Powder, Not More Than 2% Of: Silicon Dioxide, Nisin Preparation, Sodium Chloride, Rosemary Extract, Cultured Dextrose), Cracker Meal (bleached Wheat Flour, Sunflower Oil), Batter (bleached Wheat Flour, Modified Corn Starch, Yellow Corn Flour, Salt),cocktail Sauce - Tomato Paste, Water, Horseradish (horseradish Root, Vinegar, Salt), High Fructose Corn Syrup, Vinegar, Contains Less Than 2% Of Salt, Molasses, Garlic Powder, Dried Onion, Dextrose, Dried Garlic, Maltodextrin, Spice Extractives, Tricalcium Phosphate, Soybean Oil, Citric Acid, Lemon Juice Concentrate, Mustard Oil, Enzyme, Sugar, Spices, Tamarind, Natural Flavor",,,,,,,,
Fruits De Mer Marinated Octopus,,$14.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b0e915a5-bc13-486d-8c2b-0138e90817d0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5d1ae4fb-5e0a-4781-b737-ad63f79f0b08.jpg 4x",,,"Marinated in sunflower oil, vinegar and seasoned with a distinctive blend of natural herbs and spices. Wild Caught","Octopus, giant squid, sunflower oil, wine vinegar, salt, sugar, parsley, garlic, citric acid",,Contain: Molluscs,,,,,,
Tilapia Fillet,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ae07b6bd-a55a-48dc-b18d-9bd1e50559bd.jpg 4x,,,,,,,,,,,,
"Spence & Co., Ltd. Salmon Smo Sal Gravlax",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7609d672-9e96-49b2-af85-176a6a84b9b1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27c6d690-5e88-4fed-a4dd-6128dfd6e2a1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca50aaac-d5b1-4154-a328-1608a7c2ac02.png 4x",,,,"Atlantic Salmon, Salt, Evaporated Cane Sugar Juice (Sucanat), Lemon Juice, Dill, Black Pepper.","Remove from refrigerator 1 hour before use. Puncture the package to release the vacuum and bring to room temperature. Product can be frozen. Consume within one month of freezing. Defrost under refrigeration and use the same day. Do not refreeze.,Keep refrigerated 32 degrees-38 degrees F. Perishable: Keep refrigerated at 38 degrees F or below.",,,,,,,
Ducktrap River of Maine Spruce Point Cold Smoked Atlantic Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27fef01d-7525-4820-8a09-217ec6f34c45.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f54aefdb-8c6b-414d-8989-3204df4167d4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_366d4d64-41a9-47f0-a52b-6646d096e282.png 4x",,,"Spruce Point traditional-style smoked salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Fillets are lightly trimmed and cold smoked in small batches with a unique recipe blend of maple, oak, cherry, and apple woods. The result is a rich and delicate blend of the woods and sea. This smoked salmon is thinly sliced, skin is removed.","ATLANTIC SALMON (SALMO SALAR) (color added through feed), SALT, CANE SUGAR, BLACK PEPPER AND DILL. CONTAINS: SALMON (FISH).","Keep refrigerated at 38 degree F (3 degree C) or less. Use within four days of opening. Perishable: keep refrigerated at 38 degrees F or below. Proper Storage: Ducktrap Smoked Salmon has been carefully sealed in a vacuum package. Because we use no artificial preservatives, our smoked salmon needs to be kept refrigerated at 38 degree F or less when not being served. It is best stored unopened until the Use By date on the package. Unopened, it can be frozen for up to 3 months. After opening, it should be kept well wrapped in the refrigerator and eaten within 4 days.",Contains: salmon (fish).,,,,,,
"Trans-Ocean Imitation Crab, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_89775db8-9d61-4a27-9b93-fac416f1cb0b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cce686ff-abf5-4e51-a07c-cf18c1844707.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f797a26f-f134-4999-ba73-6a812ad060e9.png 4x",,,"transOcean® Crab Classic Imitation Crab Flake Style.,Wild alaska pollock with king crab meat added.,Fully cooked.,Ready-to-eat.,American Heart Association Certified.,While many factors affect heart disease, diets low in saturated fat and cholesterol may help reduce the risk of this disease.,Gluten free.,Certified Sustainable Seafood MSC.,Net Wt. 2 lbs. (907 g).","Alaska Pollock (msc Certified), Water, Egg Whites, Corn Starch, Sugar, Sorbitol, Contains 2% Or Less Of: King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (anchovy, Sardine), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Soy Lecithin, Carmine, Paprika, Color Added.","Enjoy in seafood salads, hot dishes & snacks.,Must be kept refrigerated to maintain safety.,Tear.,For best results, use within 3 days after opening. Product can be frozen prior to use-by date, and kept frozen for up to 9 months. Do not use if package has been damaged or opened.","Contains: fish (alaska pollock, anchovy, sardine), crustacean shellfish (king crab, blue crab, snow crab, lobster), egg, soy.",,,,,,
"Ducktrap River of Maine Spruce Point Cold Smoked Atlantic Salmon, Pastrami",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c97537aa-34d0-414c-bd39-2a6ff405eeaf.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13a206ea-2bee-4a7b-ae78-cd4d02cef856.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e35eddc-5329-4dfa-ba97-ff9804856e0d.png 4x",,,"Spruce Point pastrami-style salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Fillets lightly trimmed and cold smoked in small batches with a unique recipe blend of maple, oak, cherry, and apple woods. A pastrami spice rub is hand-applied to create this savory delicacy. This smoked salmon is thinly sliced, skin is removed.","ATLANTIC SALMON (color added through feed), SALT, PASTRAMI RUB (SPICES, CARAMEL COLOR, PAPRIKA, NATURAL FLAVORS, EXPELLER PRESSED CANOLA OIL (AS A PROCESSING AID), NOT MORE THAN 2% SILICON DIOXIDE ADDED TO PREVENT CAKING), CANE SUGAR, BLACK PEPPER AND DILL. CONTAINS: SALMON (FISH).","Keep refrigerated at 38 degree F (3 degree C) or less. Use within four days of opening. Perishable: keep refrigerated at 38 degrees F or below. Proper Storage: Ducktrap Smoked Salmon has been carefully sealed in a vacuum package. Because we use no artificial preservatives, our smoked salmon needs to be kept refrigerated at 38 degree F or less when not being served. It is best stored unopened until the Use By date on the package. Unopened, it can be frozen for up to 3 months. After opening, it should be kept well wrapped in the refrigerator and eaten within 4 days.",Contains: fish (salmon).,,,,,,
Open Nature Wild Caught Alaska Cod Fillet,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5184019b-03ab-4427-a6e6-23e1cf6753f9.jpg 4x,,,,,,,,,,,,
Mowi Lightly Smoked Atlantic Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_580acd0e-7659-42e4-8532-f8dd38365ad6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be29a108-ea0b-4a2d-bbef-d7f229496678.png 4x",,,,,,Contains: salmon (fish).,,,,,,
Boneless Skinless Atlantic Salmon Fillet,$45.96,$57.56, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afb12364-bca6-41c1-bd59-2f015d66ba6b.jpeg 4x,,,,,,,,,,,,
"Taste of Inspirations Atlantic Salmon, Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b60498e9-4a93-4387-804c-7ae7d0429541.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8a45691-84b1-435b-8444-5700e38fbe65.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f8be507e-3c36-4384-ade0-3c5834dadda4.png 4x",,,"Ready to eat. Farm raised. Hot smoked using a blend of natural hardwoods and fruitwoods. Discover uncompromising foods that are crafted to inspire. Distinctive products of exceptional taste, made from carefully selected ingredients. BAP Certified CERT. Best Aquaculture Practices. Processor. Farm. Feed. bapcertified.org.,• Kosher","Atlantic Salmon (Color Added Through Feed), Salt.","Thawing: Thaw under refrigeration. Preparing: For maximum flavor, allow smoked salmon to remain at room temperature for 30 minutes prior to serving. Caution: Although extra care has been taken to remove all bones, some small ones may remain.,Keep refrigerated. Storage: Keep refrigerated at 38 degrees F or less when not being served. Consume before the use by date. Once opened, store unused portions well-wrapped in the refrigerator and eat within 4 days. Unopened, this package can be stored in the freezer for 3 months.",Contains: salmon.,,,,,,
"Taste of Inspirations Atlantic Salmon, Smoked, Peppercorn Seasoned",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7b7647fc-0637-4b8c-971a-96511046285e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2432265d-8bae-4ae2-bb84-8138be8e4ce8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2aed6a6-bb0c-40d9-88b8-fe947bf051d3.png 4x",,,"Ready to eat. Farm raised. Hot smoked with seasoning of black pepper. Discover uncompromising foods that are crafted to inspire. Distinctive products of exceptional taste, made from carefully selected ingredients. Best aquaculture practices: Processor, farm, feed. bapcertification.org.,• Kosher","Atlantic Salmon (Color Added Through Feed), Salt, Black Pepper, Dehydrated Garlic.","Thaw under refrigeration. Preparing: For maximum flavor, allow smoked salmon to remain at room temperature for 30 minutes prior to serving.,Keep refrigerated. Storage: Keep refrigerated at 38 degrees F or less when not being served. Consume before the use by date. Once opened, store unused portions well-wrapped in the refrigerator and eat within 4 days. Unopened, this package can be stored in the freezer for 3 months.","Contains: Salmon., Caution: Although extra care has been taken to remove all bones, some small ones may remain.",,,,,,
Foppen Smoked Norwegian* Salmon Slices,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8ac70ca-1cf2-4570-86a5-eac2fb84492c.jpg 4x,,,,"Atlantic Salmon (salmo Salar), Salt, Vinegar, Smoke. Color Added.",,,,,,,,
"Waterfront Bistro Imitation Crabmeat, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_daa12026-31d9-4824-b816-c889bfa024a3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ce417e29-8c93-40f5-9b54-6c7f2a1c46a9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4593d85f-357c-4aa3-9ab7-2977a6439b9a.png 4x",,,"Estd 2009. Fully cooked & ready to eat. Deliciously Easy: Welcome to Waterfront Bistro, where bistro quality seafood dishes are yours for the making. Our delicious variety of responsibly sourced offerings and easy go-to recipes are sure to inspire irresistible seafood meals any day of the week. Responsible choice. Responsible choices made easy. Our leading sourcing standards help maintain sustainable seafood populations and ecosystems today - and for future generations. It's not just a logo, it's our commitment.","Fish Protein (alaska Pollock [gadus Chalcogrammus] And/or Pacific Whiting [merluccius Productus]), Water, Pea Starch, Egg Whites, Sugar, Potato Starch, Modified Tapioca Starch, Contains 2% Or Less Of: Beni-zuwai Crabmeat (chionoecetes Japonicus), Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Rice Wine (water, Rice, Koji), Sea Salt, Sorbitol, Carrageenan, Yam Flour, Potassium Chloride Disodium Inosinate, Sodium Pyrophosphate, Carmine (color), Paprika (color), Cacao (color), Titanium Dioxide (color).","Perishable. Keep refrigerated.,For best results, use within 3 days after opening.","Contains: fish (alaska pollock, pacific whiting), crustacean shellfish (beni-zuwai crab, blue crab, snow crab, lobster), egg.",,,,,,
Mowi Cold Smoked Atlantic Salmon,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bcefd892-656c-4914-b59f-f1ca6c8d4bf8.png 4x,,,,"Atlantic Salmon (salmo Salar) (color Added Through Feed), Salt, Sodium Lactate Acidity Regulator, Nisin Preparation Preservative.",,"Contains: salmon (fish). Although every effort has been made to remove bones, some small bones may remain.",,,,,,
"Go Wild Salmon, Atlantic",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b877603e-f892-4bba-a12b-ed3c41a4d41f.png 4x,,,,,,,,,,,,
"Go Wild Salmon, Atlantic",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f73dd29-63fb-4755-b4da-b68f7ab5e635.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cd0e7870-ac2e-4213-97ee-c17a3dadd876.png 4x",,,"Patagonia SeaFarms salmon portions are cut from salmon raised in the icy-cold waters of the Chilean Patagonia. The best sites in the world produce our rich, vibrant and robust salmon with an unquestionably superior flavor, directly from our oceans to your plate. Although we have made our best efforts on removing all bones, small pieces may remain. Best Aquaculture Practices Certified www.responsibleseafood.org. The Responsible Seafood Choice.",Atlantic Salmon (Color Added Through Feed).,"Safe handling instructions keep raw fish separated from other food. Wash cooking utensils with soap and hot water between preparation of fish and other ready-to-eat foods.,Grill: Cooking Instructions: Grill: Preheat grill. Season salmon with salt and pepper, butter and other seasonings to enhance taste. Grill portion for 2 minutes then turn and finish on the other side for 6-8 minutes. Convection: Conventional Oven: Preheat oven to 450 degrees F. Remove salmon portion from tray, season to taste and place in a non-stick or foil lined baking sheet. Bake for 11-13 minutes or until salmon is cooked thoroughly (internal temperature of 145 degrees F) and reaches a flaky texture.,Keep refrigerated.",Allergens: Contains fish.,,,,,,
